retrieved,url,volume,format,date1,date2,reo,ambiguous,other,percent,incomplete
2018-01-23 18:03:56.290004,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=431;num=4995,416,OCR,"TUESDAY, 6 DECEMBER 1977",1977-12-6,194,4577,44274,0.44,
2018-01-23 18:40:28.230041,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=495;num=5059,416,OCR,"WEDNESDAY, 7 DECEMBER 1977",1977-12-7,373,6782,72638,0.51,
2018-01-23 19:52:06.324747,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=617;num=5181,416,OCR,"THURSDAY, 8 DECEMBER 1977",1977-12-8,332,4406,43467,0.76,
2018-01-23 20:25:47.856969,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=678;num=5242,416,OCR,"FRIDAY, 9 DECEMBER 1977",1977-12-9,103,3554,34943,0.29,
2018-01-23 20:48:55.510401,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=727;num=5291,416,OCR,"TUESDAY, 13 DECEMBER 1977",1977-12-13,57,2129,20627,0.28,
2018-01-23 21:10:43.826655,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=775;num=5339,416,OCR,"WEDNESDAY, 14 DECEMBER 1977",1977-12-14,63,2552,22123,0.28,
2018-01-23 21:21:13.947685,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940167;page=ssd;view=plaintext;seq=807;num=5371,416,OCR,"THURSDAY, 15 DECEMBER 1977",1977-12-15,44,2419,22339,0.2,
2018-01-23 14:27:26.664964,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=9;num=1,417,OCR,"WEDNESDAY, 10 MAY 1978",1978-5-10,1,273,2436,0.04,
2018-01-23 14:29:19.986390,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=13;num=5,417,OCR,"THURSDAY, 11 May 1978",1978-5-11,5,228,2576,0.19,
2018-01-23 14:31:45.006287,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=18;num=10,417,OCR,"FRIDAY, 12 MAY 1978",1978-5-12,72,786,6058,1.17,
2018-01-23 14:37:18.410427,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=27;num=19,417,OCR,"TUESDAY, 16 MAY 1978",1978-5-16,16,1111,10389,0.15,
2018-01-23 14:43:12.134517,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=41;num=33,417,OCR,"WEDNESDAY, 17 MAY 1978",1978-5-17,58,3913,36071,0.16,
2018-01-23 15:07:33.458333,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=91;num=83,417,OCR,"THURSDAY, 18 MAY 1978",1978-5-18,150,3946,37799,0.4,
2018-01-23 15:33:33.024004,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=143;num=135,417,OCR,"FRIDAY, 19 MAY 1978",1978-5-19,159,2721,27992,0.56,
2018-01-23 15:55:18.030746,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=184;num=176,417,OCR,"TUESDAY, 23 MAY 1978",1978-5-23,208,3798,37872,0.55,
2018-01-23 16:21:44.171608,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=238;num=230,417,OCR,"WEDNESDAY, 24 MAY 1978",1978-5-24,188,3819,40284,0.46,
2018-01-23 16:49:10.525746,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=298;num=290,417,OCR,"THURSDAY, 25 MAY 1978",1978-5-25,274,4199,39328,0.69,
2018-01-23 17:18:06.407361,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=355;num=347,417,OCR,"FRIDAY, 26 MAY 1978",1978-5-26,111,2800,27147,0.41,
