Date retreived,Hansard document url,Wā,Title,Te Reo length,Ambiguous length,Other length,Is Māori (%),Awaiting authorised reo
2018-01-10 16:27:52.789462,/en/pb/hansard-debates/rhr/document/48HansD_20080702/volume-648-week-79-wednesday-2-july-2008,02-Jul-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 2 July 2008  ",312,2933,47264,0.6557928367243988,
2018-01-10 16:27:55.090844,/en/pb/hansard-debates/rhr/document/48HansD_20080703/volume-648-week-79-thursday-3-july-2008,03-Jul-2008  ,"Parliamentary Debates (Hansard) for Thursday, 3 July 2008  ",99,1800,32194,0.3065679868702196,
2018-01-10 16:27:57.035107,/en/pb/hansard-debates/rhr/document/48HansD_20080722/volume-648-week-80-tuesday-22-july-2008,22-Jul-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 22 July 2008  ",2824,3430,44233,6.001232547761226,
2018-01-10 16:27:59.349462,/en/pb/hansard-debates/rhr/document/48HansD_20080723/volume-648-week-80-wednesday-23-july-2008,23-Jul-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 23 July 2008  ",784,3199,48003,1.6069854674400967,
2018-01-10 16:28:01.696862,/en/pb/hansard-debates/rhr/document/48HansD_20080724/volume-648-week-80-thursday-24-july-2008,24-Jul-2008  ,"Parliamentary Debates (Hansard) for Thursday, 24 July 2008  ",1488,2080,27361,5.157891088079309,
2018-01-10 16:28:03.531930,/en/pb/hansard-debates/rhr/document/48HansD_20080729/volume-648-week-81-tuesday-29-july-2008,29-Jul-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 29 July 2008  ",260,3025,49755,0.5198440467859642,
2018-01-10 16:28:06.088455,/en/pb/hansard-debates/rhr/document/48HansD_20080730/volume-648-week-81-wednesday-30-july-2008,30-Jul-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 30 July 2008  ",170,3401,50158,0.3377841360673979,
2018-01-10 16:28:08.520214,/en/pb/hansard-debates/rhr/document/48HansD_20080731/volume-648-week-81-thursday-31-july-2008,31-Jul-2008  ,"Parliamentary Debates (Hansard) for Thursday, 31 July 2008  ",184,1770,30432,0.6009929448654299,
2018-01-10 16:28:14.473935,/en/pb/hansard-debates/rhr/document/48HansD_20080805/volume-649-week-82-tuesday-5-august-2008,05-Aug-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 5 August 2008  ",306,2887,48973,0.6209541589723817,
2018-01-10 16:28:16.952392,/en/pb/hansard-debates/rhr/document/48HansD_20080806/volume-649-week-82-wednesday-6-august-2008,06-Aug-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 6 August 2008  ",203,3238,50218,0.40261002360127723,
