Date retreived,Hansard document url,wā,title,Te Reo length,Ambiguous length,Other length,is Māori (%),awaiting authorised reo
2017-12-20 15:54:25.509181,/en/pb/hansard-debates/rhr/document/51HansD_20151104/volume-709-week-32-wednesday-4-november-2015,04-Nov-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 4 November 2015  ",474,1838,27578,1.6897190931127906,
2017-12-20 15:54:27.252771,/en/pb/hansard-debates/rhr/document/51HansD_20151105/volume-709-week-32-thursday-5-november-2015,05-Nov-2015  ,"Parliamentary Debates (Hansard) for Thursday, 5 November 2015  ",66,1853,30780,0.21396615444466058,
2017-12-20 15:54:29.206471,/en/pb/hansard-debates/rhr/document/51HansD_20151110/volume-710-week-33-tuesday-10-november-2015,10-Nov-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 10 November 2015  ",72,3092,50974,0.1410492496963523,
2017-12-20 15:54:31.781056,/en/pb/hansard-debates/rhr/document/51HansD_20151111/volume-710-week-33-wednesday-11-november-2015,11-Nov-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 11 November 2015  ",144,3481,52804,0.27196494674019794,
2017-12-20 15:54:34.521280,/en/pb/hansard-debates/rhr/document/51HansD_20151112/volume-710-week-33-thursday-12-november-2015,12-Nov-2015  ,"Parliamentary Debates (Hansard) for Thursday, 12 November 2015  ",40,1999,31702,0.12601600403251212,
2017-12-20 15:54:36.680558,/en/pb/hansard-debates/rhr/document/51HansD_20151117/volume-710-week-34-tuesday-17-november-2015,17-Nov-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 17 November 2015  ",373,3641,55023,0.673333814715864,
2017-12-20 15:54:39.866800,/en/pb/hansard-debates/rhr/document/51HansD_20151118/volume-710-week-34-tuesday-17-november-2015-continued,17-Nov-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 17 November 2015(continued on Wednesday, 18 November 2015)  ",210,6638,106597,0.19661632664525733,
2017-12-20 15:54:44.080515,/en/pb/hansard-debates/rhr/document/51HansD_20151120/volume-710-week-34-tuesday-17-november-2015-continued,17-Nov-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 17 November 2015(continued on Thursday, 19 November 2015)  ",53,2093,31280,0.1691507356461239,
2017-12-20 15:54:45.853833,/en/pb/hansard-debates/rhr/document/51HansD_20151119/volume-710-week-34-thursday-19-november-2015,19-Nov-2015  ,"Parliamentary Debates (Hansard) for Thursday, 19 November 2015  ",559,1991,29855,1.8379693562175314,
2017-12-20 15:54:47.839911,/en/pb/hansard-debates/rhr/document/51HansD_20151201/volume-710-week-35-tuesday-1-december-2015,01-Dec-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 1 December 2015  ",31,3275,50835,0.06094444226005583,
2017-12-20 15:54:50.392195,/en/pb/hansard-debates/rhr/document/51HansD_20151202/volume-710-week-35-wednesday-2-december-2015,02-Dec-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 2 December 2015  ",209,3076,50199,0.41461672750357087,
