retrieved,url,name,period,session,format,downloaded,processed
2018-02-20 23:21:09.862855,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929824,264,22 February 1944 – 4 April 1944,27th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:08.905689,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929832,265,26 July 1944 – 31 August 1944,27th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:12.339084,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929840,266,1 September 1944 – 11 October 1944,27th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:09.303710,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929857,267,12 October 1944 – 15 December 1944,27th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:12.447089,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929865,268,27 June 1945 – 3 August 1945,27th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:13.271139,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929873,269,17 October 1947 – 27 November 1947,28th Parliament: 1st session,OCR,True,True
2018-02-20 23:21:12.092080,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929881,270,19 September 1945 – 26 October 1945,27th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:11.756050,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929899,271,31 October 1945 – 21 November 1945,27th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:12.021064,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929907,272,22 November 1945 – 7 December 1945,27th Parliament: 2nd session,OCR,True,True
2018-02-20 23:21:08.817684,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929915,273,26 June 1946 – 31 July 1946,27th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:11.952061,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929923,274,1 August 1946 – 13 September 1946,27th Parliament: 3rd session,OCR,True,True
2018-02-20 23:21:12.104074,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019929931,275,17 September 1946 – 12 October 1946,27th Parliament: 3rd session,OCR,True,True
